--------------------------------------------------------------------------------------------------------
system size:                                                                                       512  
d-field:                                                                                           0    
beta:                                                                                              10   
boundary conditions:                                                                           periodic 
--------------------------------------------------------------------------------------------------------
energy:                                                                                 -716.8011.2e+02 
string corr. squared:                                                                   -nan    -nan    
staggered mag. squared:                                                                 909.927 1.6e+06 
--------------------------------------------------------------------------------------------------------
Site  <S_i^zS_j^z>  error     <(S_i^z)^2>  error     <S_i^z>  error     
307   -0.000        4.3e-02   0.667        1.2e-02   0.005    1.5e-01   
308   0.001         4.3e-02   0.667        1.2e-02   -0.004   1.5e-01   
309   -0.001        4.3e-02   0.667        1.2e-02   0.004    1.5e-01   
310   0.001         4.2e-02   0.668        1.2e-02   -0.003   1.5e-01   
311   -0.000        4.2e-02   0.667        1.2e-02   0.001    1.5e-01   
312   0.000         4.2e-02   0.666        1.2e-02   -0.003   1.5e-01   
313   -0.001        4.2e-02   0.667        1.2e-02   0.002    1.5e-01   
314   0.001         4.3e-02   0.668        1.2e-02   0.001    1.5e-01   
315   -0.001        4.3e-02   0.667        1.2e-02   0.000    1.5e-01   
316   0.000         4.2e-02   0.667        1.2e-02   -0.002   1.5e-01   
317   0.000         4.2e-02   0.668        1.2e-02   0.002    1.5e-01   
318   -0.001        4.2e-02   0.667        1.2e-02   -0.004   1.5e-01   
319   0.001         4.2e-02   0.667        1.2e-02   0.003    1.5e-01   
320   -0.001        4.2e-02   0.668        1.2e-02   -0.000   1.5e-01   
321   0.001         4.2e-02   0.668        1.2e-02   0.001    1.5e-01   
322   -0.001        4.2e-02   0.667        1.2e-02   -0.001   1.5e-01   
323   0.002         4.2e-02   0.667        1.2e-02   0.003    1.5e-01   
324   -0.001        4.2e-02   0.667        1.2e-02   -0.004   1.5e-01   
325   0.002         4.2e-02   0.667        1.2e-02   0.002    1.5e-01   
326   -0.001        4.2e-02   0.667        1.2e-02   -0.001   1.5e-01   
327   0.001         4.2e-02   0.667        1.2e-02   -0.001   1.5e-01   
328   -0.001        4.2e-02   0.667        1.2e-02   0.003    1.5e-01   
329   0.000         4.2e-02   0.666        1.2e-02   -0.003   1.5e-01   
